timestamp,BPM,Quality
1557705604517,70,ACQUIRING
1557705605555,70,ACQUIRING
1557705606547,70,ACQUIRING
1557705607546,70,ACQUIRING
1557705608519,70,ACQUIRING
1557705609497,70,ACQUIRING
1557705610493,70,ACQUIRING
1557705611510,70,ACQUIRING
1557705612503,70,ACQUIRING
1557705613533,70,ACQUIRING
1557705614495,70,ACQUIRING
1557705615476,70,ACQUIRING
1557705616491,70,ACQUIRING
1557705617480,70,ACQUIRING
1557705618485,70,ACQUIRING
1557705619481,70,ACQUIRING
1557705620467,70,ACQUIRING
1557705621455,70,ACQUIRING
1557705622459,70,ACQUIRING
1557705623463,70,ACQUIRING
1557705624458,70,ACQUIRING
1557705625450,70,ACQUIRING
1557705626432,70,ACQUIRING
1557705627430,70,ACQUIRING
1557705628432,70,ACQUIRING
1557705629438,70,ACQUIRING
1557705630416,70,ACQUIRING
1557705631426,70,ACQUIRING
1557705632424,70,ACQUIRING
1557705633425,70,ACQUIRING
1557705634421,70,ACQUIRING
1557705635409,70,ACQUIRING
1557705636402,70,ACQUIRING
1557705637406,70,ACQUIRING
1557705638426,70,ACQUIRING
1557705639386,70,ACQUIRING
1557705640409,70,ACQUIRING
1557705641381,70,ACQUIRING
1557705642386,70,ACQUIRING
1557705643381,70,ACQUIRING
1557705644384,70,ACQUIRING
1557705645379,70,ACQUIRING
1557705646378,70,ACQUIRING
1557705647363,70,ACQUIRING
1557705648375,70,ACQUIRING
1557705649364,70,ACQUIRING
1557705650340,70,ACQUIRING
1557705651368,70,ACQUIRING
1557705652342,70,ACQUIRING
1557705653365,70,ACQUIRING
1557705654322,70,ACQUIRING
1557705655362,70,ACQUIRING
1557705656321,70,ACQUIRING
1557705657308,70,ACQUIRING
1557705658309,70,ACQUIRING
1557705659315,70,ACQUIRING
1557705660314,70,LOCKED
1557705661312,70,LOCKED
1557705662314,75,LOCKED
1557705663293,75,LOCKED
1557705664299,75,LOCKED
1557705665284,75,LOCKED
1557705666290,75,LOCKED
1557705667290,80,LOCKED
1557705668282,80,LOCKED
1557705669271,80,LOCKED
1557705670271,80,LOCKED
1557705671276,80,LOCKED
1557705672259,80,LOCKED
1557705673259,85,LOCKED
1557705674272,85,LOCKED
1557705675247,85,LOCKED
1557705676255,85,LOCKED
1557705677250,90,LOCKED
1557705678245,95,LOCKED
1557705679232,94,LOCKED
1557705680236,93,LOCKED
1557705681240,96,LOCKED
1557705682233,97,LOCKED
1557705683229,98,LOCKED
1557705684218,99,LOCKED
1557705685207,99,LOCKED
1557705686210,100,LOCKED
1557705687193,100,LOCKED
1557705688212,100,LOCKED
1557705689209,100,LOCKED
1557705690206,84,LOCKED
1557705691221,84,LOCKED
1557705692171,84,LOCKED
1557705693224,84,LOCKED
1557705694205,84,LOCKED
1557705695173,84,LOCKED
1557705696198,84,LOCKED
1557705697178,84,LOCKED
1557705698196,84,LOCKED
1557705699165,84,LOCKED
1557705700165,82,LOCKED
1557705701162,82,LOCKED
1557705702134,91,LOCKED
1557705703161,91,LOCKED
1557705704136,87,LOCKED
1557705705148,87,LOCKED
1557705706125,90,LOCKED
1557705707117,91,LOCKED
1557705708126,91,LOCKED
1557705709112,91,LOCKED
1557705710105,91,LOCKED
1557705711132,91,LOCKED
1557705712113,90,LOCKED
1557705713111,90,LOCKED
1557705714111,89,LOCKED
1557705715096,89,LOCKED
