timestamp,BPM,Quality
1557705600043,74,LOCKED
1557705601019,74,LOCKED
1557705602028,74,LOCKED
1557705603029,74,LOCKED
1557705604030,74,LOCKED
1557705605016,74,LOCKED
1557705606017,74,LOCKED
1557705607012,75,LOCKED
1557705607992,75,LOCKED
1557705609010,74,LOCKED
1557705609989,76,LOCKED
1557705610982,74,LOCKED
1557705612006,74,LOCKED
1557705612973,75,LOCKED
1557705613977,73,LOCKED
1557705614976,73,LOCKED
1557705615976,74,LOCKED
1557705616958,74,LOCKED
1557705617961,75,LOCKED
1557705618948,74,LOCKED
1557705619966,74,LOCKED
1557705620946,73,LOCKED
1557705621954,73,LOCKED
1557705622949,72,LOCKED
1557705623976,71,LOCKED
1557705624931,71,LOCKED
1557705625920,72,LOCKED
1557705626939,74,LOCKED
1557705627923,74,LOCKED
1557705628916,73,LOCKED
1557705629919,74,LOCKED
1557705630931,74,LOCKED
1557705631916,75,LOCKED
1557705632911,83,LOCKED
1557705633902,83,LOCKED
1557705634905,83,LOCKED
1557705635887,78,LOCKED
1557705636891,77,LOCKED
1557705637875,72,LOCKED
1557705638890,72,LOCKED
1557705639880,71,LOCKED
1557705640879,65,LOCKED
1557705641859,65,LOCKED
1557705642866,67,LOCKED
1557705643871,69,LOCKED
1557705644853,70,LOCKED
1557705645853,71,LOCKED
1557705646857,72,LOCKED
1557705647857,71,LOCKED
1557705648859,70,LOCKED
1557705649827,70,LOCKED
1557705650833,70,LOCKED
1557705651832,69,LOCKED
1557705652836,70,LOCKED
1557705653827,70,LOCKED
1557705654819,70,LOCKED
1557705655813,70,LOCKED
1557705656824,71,LOCKED
1557705657814,72,LOCKED
1557705658801,72,LOCKED
1557705659794,72,LOCKED
1557705660809,72,LOCKED
1557705661829,72,LOCKED
1557705662786,72,LOCKED
1557705663795,73,LOCKED
1557705664781,74,LOCKED
1557705665771,74,LOCKED
1557705666769,73,LOCKED
1557705667761,74,LOCKED
1557705668779,74,LOCKED
1557705669765,73,LOCKED
1557705670800,74,LOCKED
1557705671757,72,LOCKED
1557705672761,71,LOCKED
1557705673734,67,LOCKED
1557705674732,69,LOCKED
1557705675737,70,LOCKED
1557705676742,70,LOCKED
1557705677741,72,LOCKED
1557705678719,72,LOCKED
1557705679714,72,LOCKED
1557705680723,71,LOCKED
1557705681703,70,LOCKED
1557705682711,71,LOCKED
1557705683704,71,LOCKED
1557705684715,72,LOCKED
1557705685695,73,LOCKED
1557705686691,72,LOCKED
1557705687708,73,LOCKED
1557705688683,72,LOCKED
1557705689695,73,LOCKED
1557705690677,73,LOCKED
1557705691679,74,LOCKED
1557705692681,75,LOCKED
1557705693679,75,LOCKED
1557705694666,72,LOCKED
1557705695664,72,LOCKED
1557705696676,72,LOCKED
1557705697646,72,LOCKED
1557705698637,71,LOCKED
1557705699650,71,LOCKED
1557705700639,72,LOCKED
1557705701648,72,LOCKED
1557705702633,72,LOCKED
1557705703633,73,LOCKED
1557705704621,72,LOCKED
1557705705627,72,LOCKED
1557705706617,71,LOCKED
1557705707615,73,LOCKED
1557705708615,73,LOCKED
1557705709619,72,ACQUIRING
1557705710604,72,ACQUIRING
1557705711599,72,ACQUIRING
1557705712583,73,ACQUIRING
1557705713588,73,ACQUIRING
1557705714592,73,ACQUIRING
1557705715584,73,ACQUIRING
1557705716565,73,LOCKED
1557705717577,73,LOCKED
1557705718560,74,LOCKED
1557705719565,74,LOCKED
1557705720557,74,LOCKED
1557705721561,73,LOCKED
1557705722566,72,LOCKED
1557705723557,72,LOCKED
1557705724545,72,LOCKED
1557705725543,73,LOCKED
1557705726536,72,LOCKED
1557705727526,72,LOCKED
1557705728542,72,LOCKED
1557705729526,71,LOCKED
1557705730517,71,LOCKED
1557705731522,71,LOCKED
1557705732510,70,LOCKED
1557705733532,70,LOCKED
1557705734495,69,LOCKED
1557705735501,68,LOCKED
1557705736500,69,LOCKED
1557705737485,69,LOCKED
1557705738500,69,LOCKED
1557705739481,69,LOCKED
1557705740492,70,LOCKED
1557705741474,76,LOCKED
1557705742515,76,LOCKED
1557705743475,76,LOCKED
1557705744459,74,LOCKED
1557705745475,74,LOCKED
1557705746451,74,LOCKED
1557705747469,74,LOCKED
1557705748442,78,LOCKED
1557705749443,77,LOCKED
1557705750438,77,LOCKED
1557705751455,77,LOCKED
1557705752466,77,LOCKED
1557705753447,76,LOCKED
1557705754437,75,LOCKED
1557705755457,75,LOCKED
1557705756422,76,LOCKED
1557705757405,76,LOCKED
1557705758411,75,LOCKED
1557705759418,75,LOCKED
1557705760412,74,LOCKED
1557705761396,74,LOCKED
1557705762405,74,LOCKED
1557705763405,74,LOCKED
1557705764421,74,LOCKED
1557705765404,74,LOCKED
1557705766384,74,LOCKED
1557705767375,73,LOCKED
1557705768369,72,LOCKED
1557705769370,72,LOCKED
1557705770376,71,LOCKED
1557705771356,70,LOCKED
1557705772352,69,LOCKED
1557705773353,67,LOCKED
1557705774373,68,LOCKED
1557705775361,70,LOCKED
1557705776331,73,LOCKED
1557705777350,72,LOCKED
1557705778330,72,LOCKED
1557705779338,72,LOCKED
1557705780329,72,LOCKED
1557705781335,72,LOCKED
1557705782313,70,LOCKED
1557705783316,69,LOCKED
1557705784314,69,LOCKED
1557705785301,69,LOCKED
1557705786315,69,LOCKED
1557705787289,70,LOCKED
1557705788289,70,LOCKED
1557705789342,70,LOCKED
1557705790277,70,LOCKED
1557705791296,71,LOCKED
1557705792284,71,LOCKED
1557705793271,71,LOCKED
1557705794285,70,LOCKED
1557705795269,70,LOCKED
1557705796274,70,LOCKED
1557705797268,70,LOCKED
1557705798251,70,LOCKED
1557705799252,69,LOCKED
1557705800258,69,LOCKED
1557705801245,68,LOCKED
1557705802265,68,LOCKED
1557705803226,68,LOCKED
1557705804243,69,LOCKED
1557705805244,72,LOCKED
1557705806229,71,LOCKED
1557705807209,71,LOCKED
1557705808228,71,LOCKED
1557705809223,71,LOCKED
1557705810225,71,LOCKED
1557705811217,72,LOCKED
1557705812197,71,LOCKED
1557705813197,71,LOCKED
1557705814203,71,LOCKED
1557705815194,71,LOCKED
1557705816183,66,LOCKED
1557705817177,67,LOCKED
1557705818178,67,LOCKED
1557705819170,68,LOCKED
1557705820173,67,LOCKED
1557705821160,67,LOCKED
1557705822155,67,LOCKED
1557705823157,70,LOCKED
1557705824145,69,LOCKED
1557705825156,69,LOCKED
1557705826159,64,LOCKED
1557705827136,66,LOCKED
1557705828150,64,LOCKED
1557705829144,64,LOCKED
1557705830141,64,LOCKED
1557705831122,64,LOCKED
1557705832115,65,LOCKED
1557705833115,65,LOCKED
1557705834113,65,LOCKED
1557705835104,65,LOCKED
1557705836145,65,LOCKED
1557705837115,65,LOCKED
1557705838105,65,LOCKED
1557705839103,65,LOCKED
1557705840115,65,LOCKED
1557705841101,65,LOCKED
1557705842095,65,LOCKED
1557705843092,65,LOCKED
1557705844075,65,LOCKED
1557705845068,65,LOCKED
1557705846060,66,LOCKED
1557705847074,66,LOCKED
1557705848050,66,LOCKED
1557705849060,66,LOCKED
1557705850066,66,LOCKED
1557705851054,66,LOCKED
1557705852041,66,LOCKED
1557705853042,66,LOCKED
1557705854038,67,LOCKED
1557705855053,68,LOCKED
1557705856036,69,LOCKED
1557705857021,68,LOCKED
1557705858021,69,LOCKED
1557705859025,69,LOCKED
1557705860027,67,LOCKED
1557705861015,68,LOCKED
1557705861998,68,LOCKED
1557705863003,69,LOCKED
1557705863988,68,LOCKED
1557705864988,69,LOCKED
1557705865997,69,LOCKED
1557705866976,69,LOCKED
1557705867992,68,LOCKED
1557705868975,67,LOCKED
1557705869984,67,LOCKED
1557705870969,66,LOCKED
1557705871975,66,LOCKED
1557705872972,67,LOCKED
1557705873968,67,LOCKED
1557705874955,66,LOCKED
1557705875952,66,LOCKED
1557705876951,66,LOCKED
