timestamp,BPM,Quality
1557631613054,80,LOCKED
1557631614038,85,LOCKED
1557631615044,84,LOCKED
1557631616027,82,LOCKED
1557631617034,82,LOCKED
1557631618028,78,LOCKED
1557631619027,78,LOCKED
1557631620010,79,LOCKED
1557631621019,80,LOCKED
1557631622007,80,LOCKED
1557631623002,81,LOCKED
1557631624112,82,LOCKED
1557631625058,82,LOCKED
1557631626033,83,LOCKED
1557631627036,84,LOCKED
1557631628036,84,LOCKED
1557631628977,84,LOCKED
1557631629974,85,LOCKED
1557631631021,85,LOCKED
1557631631978,85,LOCKED
1557631632959,86,LOCKED
1557631633979,86,LOCKED
1557631634969,82,LOCKED
1557631635949,83,LOCKED
1557631636969,83,LOCKED
1557631637945,83,LOCKED
1557631638984,84,LOCKED
1557631639934,84,LOCKED
1557631640941,84,LOCKED
1557631641941,85,LOCKED
1557631642956,85,LOCKED
1557631643937,85,LOCKED
1557631644931,86,LOCKED
1557631645913,86,LOCKED
1557631646972,86,LOCKED
1557631647911,86,LOCKED
1557631648908,86,LOCKED
1557631649903,86,LOCKED
1557631650914,86,LOCKED
1557631651902,86,LOCKED
1557631652891,85,LOCKED
1557631653901,85,LOCKED
1557631654891,85,LOCKED
1557631655899,85,LOCKED
1557631656892,85,LOCKED
1557631657875,86,LOCKED
1557631658879,86,LOCKED
1557631659900,86,LOCKED
1557631660873,86,LOCKED
1557631661869,86,LOCKED
1557631662857,86,LOCKED
1557631663899,86,LOCKED
1557631664844,80,LOCKED
1557631665837,80,ACQUIRING
1557631666836,80,ACQUIRING
1557631667827,80,ACQUIRING
1557631668840,80,ACQUIRING
1557631669828,80,ACQUIRING
1557631670828,80,ACQUIRING
1557631671828,80,ACQUIRING
1557631672805,80,ACQUIRING
1557631673814,80,LOCKED
1557631674806,83,LOCKED
1557631675823,83,LOCKED
1557631676796,82,LOCKED
1557631677811,83,LOCKED
1557631678781,83,LOCKED
1557631679826,83,LOCKED
1557631680795,83,LOCKED
1557631681794,83,LOCKED
1557631682776,82,LOCKED
1557631683782,82,LOCKED
1557631684775,82,LOCKED
1557631685763,82,LOCKED
1557631686770,80,LOCKED
1557631687772,80,ACQUIRING
1557631688742,80,ACQUIRING
1557631689749,80,ACQUIRING
1557631690740,80,ACQUIRING
1557631691777,80,ACQUIRING
1557631692735,80,ACQUIRING
1557631693740,80,ACQUIRING
1557631694731,80,ACQUIRING
1557631695766,80,ACQUIRING
1557631696726,80,ACQUIRING
1557631697711,80,ACQUIRING
1557631698712,80,ACQUIRING
1557631699699,80,ACQUIRING
1557631700701,80,ACQUIRING
1557631701711,80,ACQUIRING
1557631702704,80,ACQUIRING
1557631703686,80,ACQUIRING
1557631704701,80,ACQUIRING
1557631705683,80,ACQUIRING
1557631706670,80,ACQUIRING
1557631707666,80,ACQUIRING
1557631708696,94,LOCKED
1557631709673,90,LOCKED
1557631710667,90,LOCKED
1557631711658,87,LOCKED
1557631712692,86,LOCKED
1557631713647,85,LOCKED
1557631714643,84,LOCKED
1557631715668,83,LOCKED
1557631716702,83,LOCKED
1557631717626,84,LOCKED
1557631718633,84,LOCKED
1557631719637,84,LOCKED
1557631720636,84,LOCKED
1557631721628,83,LOCKED
1557631722607,83,LOCKED
1557631723617,83,LOCKED
1557631724630,82,LOCKED
1557631725602,83,LOCKED
1557631726612,82,LOCKED
1557631727602,82,LOCKED
1557631728597,82,LOCKED
1557631729586,82,LOCKED
1557631730597,82,LOCKED
1557631731587,82,LOCKED
1557631732573,82,LOCKED
1557631733572,82,LOCKED
1557631734597,82,LOCKED
1557631735567,82,LOCKED
1557631736562,82,LOCKED
1557631737573,82,LOCKED
1557631738550,82,LOCKED
1557631739556,82,LOCKED
1557631740562,82,LOCKED
1557631741553,82,LOCKED
1557631742572,82,LOCKED
1557631743531,82,LOCKED
1557631744539,82,LOCKED
1557631745521,82,LOCKED
1557631746525,82,LOCKED
1557631747533,82,ACQUIRING
1557631748507,82,ACQUIRING
1557631749516,82,ACQUIRING
1557631750498,82,ACQUIRING
1557631751517,82,ACQUIRING
1557631752520,82,ACQUIRING
1557631753507,82,ACQUIRING
1557631754488,82,ACQUIRING
1557631755495,82,ACQUIRING
1557631756484,82,LOCKED
1557631757485,82,LOCKED
1557631758470,81,LOCKED
1557631759471,82,LOCKED
1557631760476,82,LOCKED
1557631761478,82,LOCKED
1557631762465,82,LOCKED
1557631763448,82,LOCKED
1557631764456,81,LOCKED
1557631765464,78,LOCKED
1557631766455,78,LOCKED
1557631767450,79,LOCKED
1557631768439,79,LOCKED
1557631769426,77,LOCKED
1557631770440,78,LOCKED
1557631771427,78,LOCKED
1557631772414,78,LOCKED
1557631773414,79,LOCKED
1557631774405,79,LOCKED
1557631775422,80,LOCKED
1557631776417,80,LOCKED
1557631777403,81,LOCKED
1557631778403,81,LOCKED
1557631779400,81,LOCKED
1557631780406,81,LOCKED
1557631781384,81,LOCKED
1557631782380,81,LOCKED
1557631783375,80,LOCKED
1557631784375,80,LOCKED
1557631785365,80,LOCKED
1557631786376,80,LOCKED
1557631787361,76,LOCKED
1557631788361,74,LOCKED
1557631789361,73,LOCKED
1557631790364,73,LOCKED
1557631791350,73,LOCKED
1557631792356,74,LOCKED
1557631793340,74,LOCKED
1557631794327,73,LOCKED
1557631795332,73,LOCKED
1557631796341,74,LOCKED
1557631797319,74,LOCKED
1557631798332,74,LOCKED
1557631799312,75,LOCKED
1557631800305,75,LOCKED
1557631801304,75,LOCKED
1557631802307,76,LOCKED
1557631803342,76,LOCKED
1557631804313,76,LOCKED
1557631805288,76,LOCKED
1557631806284,76,LOCKED
1557631807287,76,LOCKED
1557631808294,76,LOCKED
1557631809292,76,LOCKED
1557631810304,71,LOCKED
1557631811271,71,LOCKED
1557631812273,71,LOCKED
1557631813261,71,LOCKED
1557631814261,71,LOCKED
1557631815245,71,LOCKED
1557631816259,66,LOCKED
1557631817260,66,LOCKED
1557631818243,66,LOCKED
1557631819250,66,LOCKED
1557631820239,66,LOCKED
1557631821240,69,LOCKED
1557631822219,69,LOCKED
1557631823221,69,LOCKED
1557631824227,69,LOCKED
1557631825224,68,LOCKED
1557631826216,69,LOCKED
1557631827220,70,LOCKED
1557631828217,70,LOCKED
1557631829214,70,LOCKED
1557631830202,70,LOCKED
1557631831186,70,LOCKED
1557631832194,72,LOCKED
1557631833195,72,LOCKED
1557631834176,72,LOCKED
1557631835181,73,LOCKED
1557631836164,73,LOCKED
1557631837183,71,LOCKED
1557631838180,71,LOCKED
1557631839151,71,LOCKED
1557631840152,71,LOCKED
1557631841148,71,LOCKED
1557631842148,72,LOCKED
1557631843146,72,LOCKED
