timestamp,BPM,Quality
1557627844495,62,ACQUIRING
1557627845503,62,ACQUIRING
1557627846490,62,ACQUIRING
1557627847527,62,ACQUIRING
1557627848498,62,ACQUIRING
1557627849470,62,ACQUIRING
1557627850494,62,ACQUIRING
1557627851500,62,ACQUIRING
1557627852466,62,ACQUIRING
1557627853468,62,ACQUIRING
1557627854459,62,ACQUIRING
1557627855460,62,ACQUIRING
1557627856475,62,ACQUIRING
1557627857454,62,ACQUIRING
1557627858443,62,ACQUIRING
1557627859444,62,ACQUIRING
1557627860456,62,ACQUIRING
1557627861448,62,ACQUIRING
1557627862428,62,ACQUIRING
1557627863421,62,ACQUIRING
1557627864449,62,ACQUIRING
1557627865431,62,ACQUIRING
1557627866426,62,ACQUIRING
1557627867410,62,ACQUIRING
1557627868406,62,ACQUIRING
1557627869398,62,ACQUIRING
1557627870394,62,ACQUIRING
1557627871410,62,ACQUIRING
1557627872401,72,LOCKED
1557627873389,72,LOCKED
1557627874411,72,LOCKED
1557627875384,72,LOCKED
1557627876398,72,LOCKED
1557627877365,72,LOCKED
1557627878371,72,LOCKED
1557627879389,71,LOCKED
1557627880384,70,LOCKED
1557627881350,70,LOCKED
1557627882354,71,LOCKED
1557627883338,73,LOCKED
1557627884339,73,LOCKED
1557627885341,74,LOCKED
1557627886341,73,LOCKED
1557627887345,73,LOCKED
1557627888329,73,LOCKED
1557627889326,73,LOCKED
1557627890334,74,LOCKED
1557627891306,74,LOCKED
1557627892311,74,LOCKED
1557627893324,74,LOCKED
1557627894300,72,LOCKED
1557627895321,72,LOCKED
1557627896300,72,LOCKED
1557627897309,71,LOCKED
1557627898291,72,LOCKED
1557627899279,72,LOCKED
1557627900288,73,LOCKED
1557627901273,73,LOCKED
1557627902284,74,LOCKED
1557627903277,74,LOCKED
1557627904260,74,LOCKED
1557627905278,74,LOCKED
1557627906248,74,LOCKED
1557627907264,74,LOCKED
1557627908262,73,LOCKED
1557627909252,72,LOCKED
1557627910242,72,LOCKED
1557627911253,72,LOCKED
1557627912229,72,LOCKED
1557627913237,72,LOCKED
1557627914222,72,LOCKED
1557627915229,72,LOCKED
1557627916224,72,LOCKED
1557627917221,72,LOCKED
1557627918204,72,LOCKED
1557627919218,72,LOCKED
1557627920199,73,LOCKED
1557627921199,73,LOCKED
1557627922209,73,LOCKED
1557627923199,73,LOCKED
1557627924186,73,LOCKED
1557627925182,73,LOCKED
1557627926173,73,LOCKED
1557627927190,73,LOCKED
1557627928168,73,LOCKED
1557627929166,73,LOCKED
1557627930155,72,LOCKED
1557627931151,72,LOCKED
1557627932167,72,LOCKED
1557627933147,72,LOCKED
1557627934161,72,LOCKED
1557627935156,72,LOCKED
1557627936149,72,LOCKED
1557627937131,74,LOCKED
1557627938130,73,LOCKED
1557627939132,73,LOCKED
1557627940128,71,LOCKED
1557627941114,71,LOCKED
1557627942122,71,LOCKED
1557627943130,71,LOCKED
1557627944121,71,LOCKED
1557627945101,71,LOCKED
1557627946104,71,LOCKED
1557627947111,71,LOCKED
1557627948089,71,LOCKED
1557627949103,71,LOCKED
1557627950101,71,LOCKED
1557627951080,71,LOCKED
1557627952080,71,LOCKED
1557627953076,71,LOCKED
1557627954077,74,LOCKED
1557627955075,74,LOCKED
1557627956059,74,LOCKED
1557627957064,75,LOCKED
1557627958061,75,LOCKED
1557627959056,76,LOCKED
1557627960056,76,LOCKED
1557627961044,76,LOCKED
1557627962052,76,LOCKED
1557627963090,76,LOCKED
1557627964060,75,LOCKED
1557627965036,75,LOCKED
1557627966028,75,LOCKED
1557627967034,75,LOCKED
1557627968013,75,LOCKED
1557627969010,75,LOCKED
1557627969999,74,LOCKED
1557627971010,72,LOCKED
1557627972015,73,LOCKED
1557627973011,73,LOCKED
1557627973995,73,LOCKED
1557627975000,72,LOCKED
1557627976000,73,LOCKED
1557627976986,75,LOCKED
1557627977982,75,LOCKED
1557627978966,74,LOCKED
1557627979962,75,LOCKED
1557627980960,74,LOCKED
1557627981969,74,LOCKED
1557627982959,75,LOCKED
1557627983964,76,LOCKED
1557627984944,76,LOCKED
1557627985942,76,LOCKED
1557627986950,76,LOCKED
1557627987932,76,LOCKED
1557627988939,76,ACQUIRING
1557627989944,72,ACQUIRING
1557627990932,72,ACQUIRING
1557627991922,72,ACQUIRING
1557627992932,72,ACQUIRING
1557627993911,72,ACQUIRING
1557627994901,70,LOCKED
1557627995914,70,LOCKED
1557627996930,70,LOCKED
1557627997900,70,LOCKED
1557627998885,71,LOCKED
1557627999905,72,LOCKED
1557628000879,74,LOCKED
1557628001884,74,LOCKED
1557628002888,74,LOCKED
1557628003883,74,LOCKED
1557628004892,75,LOCKED
1557628005882,75,LOCKED
1557628006860,72,LOCKED
1557628007877,72,LOCKED
1557628008864,72,LOCKED
1557628009864,72,LOCKED
1557628010862,72,LOCKED
1557628011841,72,LOCKED
1557628012835,72,LOCKED
1557628013847,73,LOCKED
1557628014848,73,LOCKED
1557628015830,73,LOCKED
1557628016825,74,LOCKED
1557628017826,74,LOCKED
1557628018808,74,LOCKED
1557628019826,74,LOCKED
1557628020799,74,LOCKED
1557628021810,74,LOCKED
1557628022799,74,LOCKED
1557628023803,74,LOCKED
1557628024798,69,LOCKED
1557628025797,69,LOCKED
1557628026778,69,LOCKED
1557628027783,69,LOCKED
1557628028775,69,LOCKED
1557628029772,71,LOCKED
1557628030761,72,LOCKED
1557628031756,72,LOCKED
1557628032762,72,LOCKED
1557628033762,72,LOCKED
1557628034753,72,LOCKED
1557628035751,72,LOCKED
1557628036755,72,LOCKED
1557628037747,72,LOCKED
1557628038757,72,LOCKED
1557628039767,72,LOCKED
1557628040738,72,LOCKED
1557628041741,71,LOCKED
1557628042730,71,LOCKED
1557628043727,71,LOCKED
1557628044728,71,LOCKED
1557628045726,71,LOCKED
1557628046698,71,LOCKED
1557628047693,71,LOCKED
1557628048709,71,LOCKED
1557628049692,71,LOCKED
1557628050682,71,LOCKED
1557628051694,71,LOCKED
1557628052688,68,LOCKED
1557628053691,68,LOCKED
1557628054687,68,LOCKED
1557628055681,68,LOCKED
1557628056696,68,LOCKED
1557628057666,69,LOCKED
1557628058653,70,LOCKED
1557628059668,70,LOCKED
1557628060648,70,LOCKED
1557628061649,69,LOCKED
1557628062656,71,LOCKED
1557628063632,71,LOCKED
1557628064629,72,LOCKED
1557628065628,72,LOCKED
1557628066641,72,LOCKED
1557628067623,72,LOCKED
1557628068661,71,LOCKED
1557628069613,72,LOCKED
1557628070603,72,LOCKED
1557628071619,71,LOCKED
1557628072598,71,LOCKED
1557628073597,72,LOCKED
1557628074588,73,LOCKED
1557628075600,72,LOCKED
1557628076591,72,LOCKED
1557628077615,72,LOCKED
1557628078616,72,LOCKED
1557628079579,72,LOCKED
1557628080605,73,LOCKED
1557628081560,72,ACQUIRING
1557628082577,73,ACQUIRING
1557628083576,74,ACQUIRING
1557628084586,75,LOCKED
1557628085562,75,LOCKED
1557628086563,76,LOCKED
1557628087539,76,LOCKED
1557628088560,75,LOCKED
1557628089529,75,LOCKED
1557628090570,75,LOCKED
1557628091561,75,LOCKED
1557628092553,75,LOCKED
1557628093524,74,LOCKED
1557628094516,75,LOCKED
1557628095515,77,LOCKED
1557628096502,78,LOCKED
1557628097519,79,LOCKED
1557628098535,79,LOCKED
1557628099519,78,LOCKED
1557628100520,77,LOCKED
1557628101528,77,LOCKED
1557628102522,77,LOCKED
1557628103499,77,LOCKED
1557628104495,77,LOCKED
1557628105509,77,LOCKED
1557628106470,78,LOCKED
1557628107468,77,LOCKED
1557628108459,77,LOCKED
1557628109454,77,LOCKED
1557628110459,76,LOCKED
1557628111476,77,LOCKED
1557628112449,77,LOCKED
1557628113442,77,LOCKED
1557628114481,77,LOCKED
1557628115440,77,LOCKED
1557628116427,76,LOCKED
1557628117442,76,LOCKED
1557628118435,77,LOCKED
1557628119448,77,LOCKED
1557628120430,77,LOCKED
1557628121427,77,LOCKED
1557628122420,77,LOCKED
1557628123404,77,LOCKED
1557628124393,78,LOCKED
1557628125399,78,LOCKED
1557628126408,80,LOCKED
1557628127402,81,LOCKED
1557628128403,81,LOCKED
1557628129394,82,LOCKED
1557628130387,82,LOCKED
1557628131383,78,LOCKED
1557628132375,78,LOCKED
1557628133367,78,LOCKED
1557628134372,77,LOCKED
