timestamp,BPM,Quality
1557709456545,97,ACQUIRING
1557709457539,97,ACQUIRING
1557709458531,97,ACQUIRING
1557709459519,97,ACQUIRING
1557709460530,97,ACQUIRING
1557709461529,97,ACQUIRING
1557709462522,97,ACQUIRING
1557709463523,97,ACQUIRING
1557709464517,97,ACQUIRING
1557709465508,97,ACQUIRING
1557709466503,97,ACQUIRING
1557709467509,97,ACQUIRING
1557709468521,97,ACQUIRING
1557709469489,97,ACQUIRING
1557709470495,97,ACQUIRING
1557709471470,97,ACQUIRING
1557709472463,97,ACQUIRING
1557709473478,97,ACQUIRING
1557709474477,97,ACQUIRING
1557709475469,97,ACQUIRING
1557709476481,97,ACQUIRING
1557709477482,97,ACQUIRING
1557709478459,97,ACQUIRING
1557709479461,97,ACQUIRING
1557709480461,92,LOCKED
1557709481442,87,LOCKED
1557709482435,82,LOCKED
1557709483446,79,LOCKED
1557709484443,78,LOCKED
1557709485445,78,LOCKED
1557709486434,78,LOCKED
1557709487420,79,LOCKED
1557709488410,100,LOCKED
1557709489413,100,LOCKED
1557709490398,99,LOCKED
1557709491395,99,LOCKED
1557709492391,98,LOCKED
1557709493402,97,LOCKED
1557709494399,92,LOCKED
1557709495388,91,LOCKED
1557709496382,91,LOCKED
1557709497373,92,LOCKED
1557709498374,92,LOCKED
1557709499382,94,LOCKED
1557709500421,93,LOCKED
1557709501367,93,LOCKED
1557709502358,93,LOCKED
1557709503360,92,LOCKED
1557709504405,92,LOCKED
1557709505344,90,LOCKED
1557709506348,90,LOCKED
1557709507350,90,LOCKED
1557709508339,89,LOCKED
1557709509337,94,LOCKED
1557709510321,94,LOCKED
1557709511314,93,LOCKED
1557709512320,93,LOCKED
1557709513346,93,LOCKED
1557709514314,92,LOCKED
1557709515304,93,LOCKED
1557709516304,93,LOCKED
1557709517300,93,LOCKED
1557709518376,93,LOCKED
1557709519294,93,LOCKED
1557709520294,92,LOCKED
1557709521292,91,LOCKED
1557709522294,91,LOCKED
1557709523272,92,LOCKED
1557709524284,92,LOCKED
1557709525264,92,LOCKED
1557709526258,90,LOCKED
1557709527269,90,LOCKED
1557709528263,89,LOCKED
1557709529261,89,LOCKED
1557709530239,89,LOCKED
1557709531245,89,LOCKED
1557709532242,89,LOCKED
1557709533240,89,LOCKED
1557709534238,90,LOCKED
1557709535227,89,LOCKED
1557709536224,89,LOCKED
1557709537225,89,LOCKED
1557709538209,89,LOCKED
1557709539210,89,LOCKED
1557709540219,90,LOCKED
1557709541206,90,LOCKED
1557709542221,97,LOCKED
1557709543235,97,LOCKED
1557709544205,95,LOCKED
1557709545188,95,LOCKED
1557709546182,95,LOCKED
1557709547190,94,LOCKED
1557709548190,94,LOCKED
1557709549190,94,LOCKED
1557709550165,96,LOCKED
1557709551178,97,LOCKED
1557709552163,96,LOCKED
1557709553152,97,LOCKED
1557709554151,95,LOCKED
1557709555145,94,LOCKED
1557709556146,91,LOCKED
1557709557150,92,LOCKED
1557709558131,91,LOCKED
1557709559142,91,LOCKED
1557709560135,91,LOCKED
1557709561123,93,LOCKED
1557709562126,97,LOCKED
1557709563119,94,LOCKED
1557709564106,94,LOCKED
1557709565206,93,LOCKED
1557709566106,92,LOCKED
1557709567101,90,LOCKED
1557709568098,89,LOCKED
1557709569101,90,LOCKED
1557709570094,91,LOCKED
1557709571097,92,LOCKED
1557709572090,92,LOCKED
1557709573075,93,LOCKED
1557709574092,92,LOCKED
1557709575068,92,LOCKED
1557709576064,90,LOCKED
1557709577073,90,LOCKED
1557709578071,90,LOCKED
1557709579146,89,LOCKED
1557709580065,89,LOCKED
1557709581040,89,LOCKED
1557709582052,91,LOCKED
1557709583125,94,LOCKED
1557709584048,92,LOCKED
1557709585027,94,LOCKED
1557709586027,92,LOCKED
1557709587031,92,LOCKED
1557709588019,90,LOCKED
1557709589028,92,LOCKED
1557709590024,94,LOCKED
1557709591005,94,LOCKED
1557709592019,93,LOCKED
1557709593009,93,LOCKED
1557709594005,93,LOCKED
1557709595000,92,LOCKED
1557709595993,92,LOCKED
1557709597030,91,LOCKED
1557709597984,91,LOCKED
1557709598990,90,LOCKED
1557709599988,90,LOCKED
1557709600960,89,LOCKED
1557709601972,89,LOCKED
1557709602971,89,LOCKED
1557709603964,88,LOCKED
1557709604964,87,LOCKED
1557709606026,86,LOCKED
1557709606950,87,LOCKED
1557709607944,88,LOCKED
1557709608948,88,LOCKED
1557709609932,88,LOCKED
1557709610937,87,LOCKED
1557709611925,87,LOCKED
1557709612929,86,LOCKED
1557709613918,87,LOCKED
1557709614925,87,LOCKED
1557709615922,86,LOCKED
1557709616909,86,LOCKED
1557709617903,86,LOCKED
1557709618893,86,LOCKED
1557709619903,86,LOCKED
1557709620891,86,LOCKED
1557709621891,86,LOCKED
1557709622884,85,LOCKED
1557709623886,92,LOCKED
1557709624882,91,LOCKED
1557709625893,91,LOCKED
1557709626891,91,LOCKED
1557709627864,92,LOCKED
1557709628871,91,LOCKED
1557709629849,91,LOCKED
1557709630874,90,LOCKED
1557709631858,90,LOCKED
1557709632837,89,LOCKED
1557709633858,89,LOCKED
1557709634853,88,LOCKED
1557709635848,89,LOCKED
1557709636854,89,LOCKED
1557709637830,89,LOCKED
